,year,month,day,hour,Title_sentiment,Comment_sentiment,return,senti
46683,2021,1,2,10,-0.4389500000000001,0.16917647058823532,,-0.2697735294117648
46717,2021,1,2,11,-0.04726,0.14655555555555558,,0.09929555555555558
46762,2021,1,2,12,0.0,0.03802,,0.03802
46767,2021,1,2,13,-0.5423,-0.09693636363636364,,-0.6392363636363636
46778,2021,1,2,14,0.0,0.07919444444444446,,0.07919444444444446
46832,2021,1,2,15,-0.0625,0.0710227272727273,,0.008522727272727307
46920,2021,1,2,16,0.0,0.09761176470588237,,0.09761176470588237
46937,2021,1,2,17,0.0,0.13787777777777777,,0.13787777777777777
47072,2021,1,2,18,0.0,0.18766666666666668,,0.18766666666666668
47105,2021,1,2,19,0.04857142857142856,0.10870714285714282,,0.15727857142857138
47301,2021,1,2,20,0.0,0.11911333333333332,,0.11911333333333332
47361,2021,1,2,21,0.0,0.2321714285714285,,0.2321714285714285
47431,2021,1,2,22,-0.07230000000000003,0.08607407407407407,,0.013774074074074036
47566,2021,1,2,23,0.0,0.05882368421052632,,0.05882368421052632
47604,2021,1,3,0,0.0,0.014085714285714297,,0.014085714285714297
47632,2021,1,3,1,-0.3399999999999999,0.05863333333333333,,-0.2813666666666666
47662,2021,1,3,2,0.0,-0.07048,,-0.07048
47677,2021,1,3,3,-0.2997,0.2989,,-0.0008000000000000229
47695,2021,1,3,4,0.0,0.16144999999999998,,0.16144999999999998
47703,2021,1,3,5,0.0,0.36341999999999997,,0.36341999999999997
47713,2021,1,3,6,0.0,0.40155454545454544,,0.40155454545454544
47724,2021,1,3,7,0.14799999999999996,0.37292,,0.5209199999999999
47744,2021,1,3,8,0.0,0.16611818181818183,,0.16611818181818183
47755,2021,1,3,9,0.0,0.18646666666666667,,0.18646666666666667
47761,2021,1,3,10,-0.3182,-0.26108000000000003,,-0.57928
47766,2021,1,3,11,0.49135,0.1674,,0.65875
47774,2021,1,3,12,0.0,0.196,,0.196
47778,2021,1,3,13,0.0,0.1009714285714286,,0.1009714285714286
47792,2021,1,3,14,0.0,0.14354,,0.14354
47797,2021,1,3,15,-0.16999999999999998,0.2729428571428572,,0.10294285714285722
47811,2021,1,3,16,0.0,-0.148725,,-0.148725
47815,2021,1,3,17,0.0,0.2090866666666667,,0.2090866666666667
47830,2021,1,3,18,0.09466666666666668,-0.19529999999999997,,-0.1006333333333333
47839,2021,1,3,19,0.06772499999999998,0.3096,,0.37732499999999997
47847,2021,1,3,20,-0.09052000000000004,-0.004929411764705887,,-0.09544941176470594
47932,2021,1,3,21,-0.101325,0.04986666666666667,,-0.05145833333333333
47968,2021,1,3,22,0.0,0.17511666666666667,,0.17511666666666667
47980,2021,1,3,23,0.0,0.008322727272727272,,0.008322727272727272
48002,2021,1,4,0,0.0,0.20248928571428576,,0.20248928571428576
48058,2021,1,4,1,0.0,0.14393414634146343,,0.14393414634146343
48140,2021,1,4,2,0.0,0.03985526315789472,,0.03985526315789472
48292,2021,1,4,3,0.21830000000000005,0.18778333333333339,,0.40608333333333346
48328,2021,1,4,4,0.0,0.08330416666666668,,0.08330416666666668
48352,2021,1,4,5,0.0,0.11952068965517243,0.002583979328165231,0.11952068965517243
48381,2021,1,4,6,0.0,0.2985642857142857,,0.2985642857142857
48395,2021,1,4,7,0.0,0.09480666666666668,0.01842105263157912,0.09480666666666668
48410,2021,1,4,8,-0.05135,0.1558375,0.0021097046413500737,0.10448749999999998
48426,2021,1,4,9,0.0,-0.12378,0.08777969018932885,-0.12378
48436,2021,1,4,10,0.0,0.0855375,-0.005136986301369828,0.0855375
48444,2021,1,4,11,0.29599999999999993,-0.15495454545454546,-0.00397953382603755,0.14104545454545447
48455,2021,1,4,12,-0.4404,0.32861818181818186,-0.0045274476513866855,-0.11178181818181815
48466,2021,1,4,13,0.10398333333333333,-0.046,0.00569151963574277,0.05798333333333333
48526,2021,1,4,14,0.0,-0.05589999999999999,0.009190120620333088,-0.05589999999999999
48554,2021,1,4,15,0.15527999999999997,0.05517272727272729,0.009860788863109038,0.21045272727272726
48664,2021,1,4,16,0.011811111111111163,-0.11167499999999998,-0.007484168105929889,-0.09986388888888882
48772,2021,1,4,17,0.08067499999999975,0.12206507936507946,-0.0017241379310343195,0.2027400793650792
49528,2021,1,4,18,-0.04881538461538462,-0.019950000000000013,-0.00400686891814539,-0.06876538461538463
49892,2021,1,4,19,0.45293333333333385,0.13910757575757576,0.005757052389176565,0.5920409090909096
50090,2021,1,4,20,0.0,0.07221960784313727,0.006956521739130528,0.07221960784313727
50345,2021,1,4,21,0.14770000000000033,-0.0731135135135135,,0.07458648648648683
50604,2021,1,4,22,-0.15320000000000003,0.01606296296296297,,-0.13713703703703706
50820,2021,1,4,23,0.18883999999999995,0.1111590909090909,,0.2999990909090908
50930,2021,1,5,0,0.4019,-0.10412272727272724,,0.2977772727272727
50974,2021,1,5,1,-0.10606666666666656,0.09546829268292682,,-0.010598373983739737
51097,2021,1,5,2,0.21989999999999998,-0.026009090909090905,,0.19389090909090909
51130,2021,1,5,3,0.0,0.05723404255319149,,0.05723404255319149
51177,2021,1,5,4,0.2585000000000002,0.012820833333333333,,0.2713208333333335
51249,2021,1,5,5,0.3802000000000001,-0.133,-0.014285714285714237,0.2472000000000001
51267,2021,1,5,6,0.18973333333333317,0.08494285714285714,,0.2746761904761903
51351,2021,1,5,7,0.2454666666666666,0.013521428571428573,0.01156069364161838,0.2589880952380952
51393,2021,1,5,8,0.0,0.13093000000000005,0.011695906432748426,0.13093000000000005
51403,2021,1,5,9,0.0,-0.0903,-0.033898305084745665,-0.0903
51407,2021,1,5,10,0.0,0.4322,0.008547008547008517,0.4322
51410,2021,1,5,11,-0.0335,0.0,-0.0005694760820044165,-0.0335
51412,2021,1,5,12,0.0,0.2294,-0.0045351473922903285,0.2294
51416,2021,1,5,13,-0.19529999999999997,0.2446466666666667,0.00857632933104635,0.04934666666666673
51461,2021,1,5,14,-0.15864999999999999,0.1499,0.012738853503184709,-0.00874999999999998
51467,2021,1,5,15,0.22599999999999992,0.2061117647058824,-0.005184331797234987,0.4321117647058823
