,year,month,day,hour,nltk Sentiment,emoji senitment,sentiment,open,high,low,close,volume,return
914,2020,12,22,7,0.15728,0.1,0.3,15.85,15.85,15.85,15.85,100.0,-0.013075965130759593
923,2020,12,22,8,-0.13892000000000002,0.0,-0.4,16.0,16.06,15.86,16.06,25061.0,-0.0006222775357810352
928,2020,12,22,9,-0.14695,0.0,-0.5,16.08,16.16,15.9,16.07,118478.0,-0.0843304843304844
932,2020,12,22,10,0.12147142857142858,0.0,0.14285714285714285,16.06,17.7,15.86,17.55,3829373.0,-0.08259278619968624
939,2020,12,22,11,0.170375,0.0,0.5,17.56,19.74,17.56,19.13,8004034.0,0.003672612801678854
943,2020,12,22,12,-0.2494333333333333,0.0,-0.16666666666666666,19.12,19.2,18.53,19.06,3552785.0,-0.015495867768595128
949,2020,12,22,13,0.2231,0.0,0.25,19.09,19.38,18.61,19.36,2450425.0,-0.006160164271047264
952,2020,12,22,14,0.1468692307692308,0.15384615384615385,0.15384615384615385,19.35,19.84,19.23,19.48,3135742.0,-0.0005130836326320276
992,2020,12,22,15,-0.007289473684210524,0.21052631578947367,0.21052631578947367,19.49,20.04,18.9,19.49,4597322.0,0.0030880082346884663
1052,2020,12,22,16,0.09094871794871799,0.20512820512820512,0.358974358974359,19.49,19.81,18.8,19.43,4001820.0,0.012506513809275477
1400,2020,12,22,17,0.034970422535211286,0.14084507042253522,0.22535211267605634,19.46,19.75,18.76,19.19,572362.0,-0.011843460350154487
1755,2020,12,22,18,0.03477878787878786,0.06060606060606061,0.16666666666666666,19.19,19.42,19.04,19.42,30339.0,-0.0005146680391147074
2277,2020,12,22,19,0.07527903225806458,0.20967741935483872,0.3548387096774194,19.42,19.44,19.35,19.43,12795.0,0.005173305742369515
3013,2020,12,22,20,0.04776440677966101,0.15254237288135594,0.1694915254237288,19.42,19.5,19.1,19.33,27125.0,-0.07511961722488036
3288,2020,12,22,21,0.14426052631578948,0.10526315789473684,0.42105263157894735,,,,,,
3289,2020,12,22,22,0.18865416666666665,0.08333333333333333,0.4166666666666667,,,,,,
3290,2020,12,22,23,0.07809907407407408,0.1574074074074074,0.2962962962962963,,,,,,
3291,2020,12,23,0,0.05425181818181821,0.05454545454545454,0.20909090909090908,,,,,,
3292,2020,12,23,1,0.17169874999999996,0.0625,0.3625,,,,,,
3293,2020,12,23,2,0.12991666666666674,0.07575757575757576,0.30303030303030304,,,,,,
3294,2020,12,23,3,-0.0363439024390244,0.024390243902439025,0.0,,,,,,
3295,2020,12,23,4,0.041814035087719276,0.03508771929824561,0.12280701754385964,,,,,,
3296,2020,12,23,5,0.07605647058823532,0.058823529411764705,0.17647058823529413,19.87,21.5,19.7,20.9,44816.0,0.00917431192660545
3989,2020,12,23,6,0.1021342857142857,0.15714285714285714,0.32857142857142857,20.84,20.95,20.7,20.71,15536.0,-0.011455847255369857
4125,2020,12,23,7,-0.00791578947368421,0.07017543859649122,0.05263157894736842,20.69,20.95,20.53,20.95,14150.0,0.056480080685829666
4181,2020,12,23,8,0.06502195121951217,0.07317073170731707,0.1951219512195122,20.8,20.91,19.5,19.83,71559.0,-0.0005040322580646128
4221,2020,12,23,9,-0.04306,0.24,0.2,20.0,20.88,19.6,19.84,103191.0,-0.052983293556085886
4347,2020,12,23,10,0.10915384615384616,0.07692307692307693,0.15384615384615385,19.8,21.0,19.13,20.95,4281296.0,0.011588604538870008
4369,2020,12,23,11,-0.00524772727272729,0.11363636363636363,0.09090909090909091,20.95,22.35,20.63,20.71,7744918.0,-0.04341801385681288
4453,2020,12,23,12,0.01627586206896551,0.10344827586206896,0.034482758620689655,20.72,22.03,20.5,21.65,3570706.0,0.0013876040703051373
4531,2020,12,23,13,0.1287064516129032,0.03225806451612903,0.25806451612903225,21.65,22.18,21.25,21.62,4206549.0,-0.0032272936837252075
4639,2020,12,23,14,0.23348181818181812,0.22727272727272727,0.5909090909090909,21.63,21.72,21.23,21.69,1495748.0,0.030403800475059306
4724,2020,12,23,15,0.11393684210526318,0.17543859649122806,0.3157894736842105,21.68,21.75,20.65,21.05,1829842.0,0.022837706511176004
5326,2020,12,23,16,0.19302500000000003,0.125,0.35714285714285715,21.08,21.27,20.5,20.58,2004818.0,-0.0009708737864079221
5821,2020,12,23,17,0.022583035714285722,0.16964285714285715,0.20535714285714285,20.61,20.9,20.46,20.6,57528.0,0.0
6861,2020,12,23,18,0.10524183673469387,0.22448979591836735,0.3163265306122449,20.5,20.7,20.5,20.6,86188.0,-0.008662175168431152
7829,2020,12,23,19,0.03633225806451617,0.15053763440860216,0.1827956989247312,20.8,20.85,20.6,20.78,4946.0,0.000481463649494529
8363,2020,12,23,20,0.0643456692913386,0.11811023622047244,0.2992125984251969,20.66,20.78,20.6,20.77,8093.0,-0.01935788479697831
9461,2020,12,23,21,0.019789887640449425,0.11235955056179775,0.12359550561797752,,,,,,
9462,2020,12,23,22,0.028766216216216188,0.10810810810810811,0.12162162162162163,,,,,,
9463,2020,12,23,23,0.0204957894736842,0.08421052631578947,0.1368421052631579,,,,,,
9464,2020,12,24,0,-0.00965148514851487,0.06930693069306931,0.039603960396039604,,,,,,
9465,2020,12,24,1,0.00827272727272727,0.06818181818181818,0.045454545454545456,,,,,,
9466,2020,12,24,2,0.14450869565217392,0.08695652173913043,0.3695652173913043,,,,,,
9467,2020,12,24,3,0.07439772727272731,0.11363636363636363,0.18181818181818182,,,,,,
9468,2020,12,24,4,0.10305312500000005,0.09375,0.234375,,,,,,
9469,2020,12,24,5,0.10727910447761196,0.08955223880597014,0.2835820895522388,21.18,21.18,21.18,21.18,100.0,0.018269230769230704
9664,2020,12,24,6,0.10922888888888893,0.08888888888888889,0.2,20.8,20.8,20.8,20.8,386.0,0.012165450121654596
9710,2020,12,24,7,0.05299137931034485,0.05172413793103448,0.1206896551724138,20.56,20.56,20.55,20.55,569.0,-0.026066350710900462
9767,2020,12,24,8,0.10298823529411766,0.058823529411764705,0.14705882352941177,20.99,21.19,20.63,21.1,23125.0,-0.0014197823000472456
